frequency_relative_to_carrier_hz	psd_relative_db
-38979.492188	-53.561090
-38976.562500	-54.089022
-38973.632812	-54.818037
-38970.703125	-55.517941
-38967.773438	-54.144822
-38964.843750	-53.924905
-38961.914062	-55.716804
-38958.984375	-55.746688
-38956.054688	-55.315938
-38953.125000	-54.490573
-38950.195312	-54.504596
-38947.265625	-54.593243
-38944.335938	-54.760159
-38941.406250	-53.987977
-38938.476562	-54.468530
-38935.546875	-55.555877
-38932.617188	-55.376125
-38929.687500	-55.060498
-38926.757812	-54.259959
-38923.828125	-54.868506
-38920.898438	-55.898924
-38917.968750	-55.063491
-38915.039062	-54.584802
-38912.109375	-55.523691
-38909.179688	-54.913231
-38906.250000	-56.373930
-38903.320312	-57.483267
-38900.390625	-55.422991
-38897.460938	-54.227527
-38894.531250	-54.478235
-38891.601562	-55.395408
-38888.671875	-54.643603
-38885.742188	-54.441798
-38882.812500	-54.748603
-38879.882812	-54.887230
-38876.953125	-54.040142
-38874.023438	-54.462146
-38871.093750	-55.874995
-38868.164062	-54.629043
-38865.234375	-54.150510
-38862.304688	-54.048608
-38859.375000	-54.026268
-38856.445312	-54.361741
-38853.515625	-54.582744
-38850.585938	-54.829851
-38847.656250	-54.950485
-38844.726562	-54.484096
-38841.796875	-54.780171
-38838.867188	-54.670470
-38835.937500	-53.911610
-38833.007812	-53.376380
-38830.078125	-54.937397
-38827.148438	-55.669780
-38824.218750	-55.234369
-38821.289062	-54.908640
-38818.359375	-55.190219
-38815.429688	-55.193817
-38812.500000	-54.707335
-38809.570312	-54.810553
-38806.640625	-54.451719
-38803.710938	-54.246434
-38800.781250	-54.297928
-38797.851562	-54.349484
-38794.921875	-54.625599
-38791.992188	-54.959899
-38789.062500	-55.341270
-38786.132812	-54.389608
-38783.203125	-54.023009
-38780.273438	-54.324143
-38777.343750	-54.644167
-38774.414062	-55.002622
-38771.484375	-55.025591
-38768.554688	-55.611097
-38765.625000	-56.043806
-38762.695312	-55.271062
-38759.765625	-55.228395
-38756.835938	-55.580462
-38753.906250	-55.831775
-38750.976562	-54.893235
-38748.046875	-54.790502
-38745.117188	-56.062345
-38742.187500	-54.829393
-38739.257812	-54.843923
-38736.328125	-55.104420
-38733.398438	-56.046504
-38730.468750	-54.848934
-38727.539062	-54.580760
-38724.609375	-55.775455
-38721.679688	-55.774576
-38718.750000	-54.771075
-38715.820312	-56.319489
-38712.890625	-55.694864
-38709.960938	-55.406350
-38707.031250	-55.010285
-38704.101562	-54.157094
-38701.171875	-54.457150
-38698.242188	-54.581214
-38695.312500	-54.369849
-38692.382812	-54.247008
-38689.453125	-55.232347
-38686.523438	-54.884311
-38683.593750	-54.452385
-38680.664062	-55.268323
-38677.734375	-55.140255
-38674.804688	-55.012302
-38671.875000	-54.945744
-38668.945312	-55.915809
-38666.015625	-56.369733
-38663.085938	-56.011195
-38660.156250	-55.113148
-38657.226562	-54.442340
-38654.296875	-55.058255
-38651.367188	-56.247164
-38648.437500	-55.295232
-38645.507812	-54.102543
-38642.578125	-54.214261
-38639.648438	-54.723570
-38636.718750	-53.829476
-38633.789062	-54.341987
-38630.859375	-54.358521
-38627.929688	-54.202493
-38625.000000	-54.518591
-38622.070312	-55.056565
-38619.140625	-54.543162
-38616.210938	-54.914548
-38613.281250	-55.507164
-38610.351562	-55.175409
-38607.421875	-54.539110
-38604.492188	-55.092500
-38601.562500	-55.249155
-38598.632812	-54.871504
-38595.703125	-55.252680
-38592.773438	-55.368225
-38589.843750	-54.936620
-38586.914062	-54.664439
-38583.984375	-54.673325
-38581.054688	-53.576688
-38578.125000	-54.029965
-38575.195312	-55.126586
-38572.265625	-54.836945
-38569.335938	-53.596792
-38566.406250	-53.708278
-38563.476562	-55.288530
-38560.546875	-55.388576
-38557.617188	-54.136926
-38554.687500	-55.022167
-38551.757812	-55.725082
-38548.828125	-55.829358
-38545.898438	-54.936766
-38542.968750	-54.114343
-38540.039062	-54.718594
-38537.109375	-54.098885
-38534.179688	-54.364108
-38531.250000	-54.520072
-38528.320312	-54.646797
-38525.390625	-54.463505
-38522.460938	-54.414817
-38519.531250	-54.321123
-38516.601562	-54.657608
-38513.671875	-55.510012
-38510.742188	-55.479404
-38507.812500	-54.293625
-38504.882812	-54.344607
-38501.953125	-53.684371
-38499.023438	-53.802704
-38496.093750	-54.082700
-38493.164062	-54.969593
-38490.234375	-54.884947
-38487.304688	-55.100313
-38484.375000	-55.228152
-38481.445312	-55.491018
-38478.515625	-55.052362
-38475.585938	-54.611880
-38472.656250	-55.366020
-38469.726562	-55.307113
-38466.796875	-54.739652
-38463.867188	-55.213211
-38460.937500	-54.115194
-38458.007812	-54.550978
-38455.078125	-55.145733
-38452.148438	-55.724455
-38449.218750	-55.488330
-38446.289062	-55.131602
-38443.359375	-54.652860
-38440.429688	-54.472742
-38437.500000	-54.381274
-38434.570312	-54.353415
-38431.640625	-54.038505
-38428.710938	-55.137017
-38425.781250	-54.746239
-38422.851562	-54.684885
-38419.921875	-55.521294
-38416.992188	-54.907631
-38414.062500	-54.947714
-38411.132812	-56.615412
-38408.203125	-54.670166
-38405.273438	-54.823856
-38402.343750	-54.408296
-38399.414062	-55.567679
-38396.484375	-55.727081
-38393.554688	-54.859521
-38390.625000	-53.622096
-38387.695312	-54.024883
-38384.765625	-56.037236
-38381.835938	-54.583583
-38378.906250	-53.513160
-38375.976562	-54.263459
-38373.046875	-54.472986
-38370.117188	-54.245334
-38367.187500	-55.624092
-38364.257812	-54.979854
-38361.328125	-54.704654
-38358.398438	-55.652600
-38355.468750	-54.699464
-38352.539062	-54.488338
-38349.609375	-55.789646
-38346.679688	-55.482246
-38343.750000	-55.216583
-38340.820312	-55.726648
-38337.890625	-55.003908
-38334.960938	-54.487238
-38332.031250	-54.571887
-38329.101562	-54.641686
-38326.171875	-55.186115
-38323.242188	-55.012952
-38320.312500	-54.818267
-38317.382812	-53.868524
-38314.453125	-53.815172
-38311.523438	-54.914462
-38308.593750	-54.926216
-38305.664062	-53.886215
-38302.734375	-54.009720
-38299.804688	-54.161482
-38296.875000	-54.259431
-38293.945312	-55.602806
-38291.015625	-55.998030
-38288.085938	-54.547606
-38285.156250	-54.844593
-38282.226562	-55.934178
-38279.296875	-54.643543
-38276.367188	-54.186967
-38273.437500	-54.252163
-38270.507812	-54.551701
-38267.578125	-53.861690
-38264.648438	-54.741787
-38261.718750	-53.874465
-38258.789062	-54.658620
-38255.859375	-55.319427
-38252.929688	-55.254082
-38250.000000	-55.373675
-38247.070312	-54.829658
-38244.140625	-53.760821
-38241.210938	-54.111793
-38238.281250	-55.341837
-38235.351562	-55.683054
-38232.421875	-54.903424
-38229.492188	-54.484315
-38226.562500	-54.382661
-38223.632812	-54.466344
-38220.703125	-54.882598
-38217.773438	-54.259652
-38214.843750	-54.282143
-38211.914062	-54.015337
-38208.984375	-54.670815
-38206.054688	-55.177396
-38203.125000	-53.801219
-38200.195312	-53.360462
-38197.265625	-53.593614
-38194.335938	-53.741828
-38191.406250	-53.275531
-38188.476562	-53.917099
-38185.546875	-55.520607
-38182.617188	-55.444410
-38179.687500	-54.284748
-38176.757812	-55.206687
-38173.828125	-56.785932
-38170.898438	-54.792683
-38167.968750	-53.566522
-38165.039062	-53.769622
-38162.109375	-53.650279
-38159.179688	-53.141516
-38156.250000	-54.513351
-38153.320312	-55.193278
-38150.390625	-54.407383
-38147.460938	-54.426027
-38144.531250	-54.498863
-38141.601562	-54.932800
-38138.671875	-55.923483
-38135.742188	-55.699273
-38132.812500	-56.482069
-38129.882812	-56.193757
-38126.953125	-55.566291
-38124.023438	-54.660004
-38121.093750	-54.230742
-38118.164062	-54.542255
-38115.234375	-55.837059
-38112.304688	-55.909690
-38109.375000	-55.837661
-38106.445312	-55.460724
-38103.515625	-55.135637
-38100.585938	-55.160665
-38097.656250	-54.732001
-38094.726562	-54.333803
-38091.796875	-55.016269
-38088.867188	-56.042185
-38085.937500	-56.395787
-38083.007812	-55.212690
-38080.078125	-55.000943
-38077.148438	-55.624209
-38074.218750	-56.171685
-38071.289062	-56.720678
-38068.359375	-55.372295
-38065.429688	-54.698876
-38062.500000	-54.448106
-38059.570312	-53.889357
-38056.640625	-55.057350
-38053.710938	-55.837206
-38050.781250	-55.166990
-38047.851562	-54.591236
-38044.921875	-54.443032
-38041.992188	-54.866066
-38039.062500	-54.245747
-38036.132812	-54.638421
-38033.203125	-55.094608
-38030.273438	-55.290839
-38027.343750	-55.007236
-38024.414062	-54.851026
-38021.484375	-54.094516
-38018.554688	-54.883759
-38015.625000	-55.764915
-38012.695312	-55.313774
-38009.765625	-54.410094
-38006.835938	-54.382775
-38003.906250	-54.821553
-38000.976562	-55.551453
-37998.046875	-55.083759
-37995.117188	-55.771815
-37992.187500	-55.929010
-37989.257812	-54.338724
-37986.328125	-54.800383
-37983.398438	-55.114073
-37980.468750	-55.034090
-37977.539062	-54.611421
-37974.609375	-54.413823
-37971.679688	-54.611669
-37968.750000	-54.821629
-37965.820312	-55.185289
-37962.890625	-54.914060
-37959.960938	-54.739103
-37957.031250	-54.348682
-37954.101562	-54.631233
-37951.171875	-54.702406
-37948.242188	-54.217047
-37945.312500	-54.829409
-37942.382812	-55.050640
-37939.453125	-55.874506
-37936.523438	-55.117690
-37933.593750	-55.560316
-37930.664062	-55.207304
-37927.734375	-54.441072
-37924.804688	-54.246368
-37921.875000	-54.479403
-37918.945312	-54.470116
-37916.015625	-54.816227
-37913.085938	-55.474422
-37910.156250	-54.889549
-37907.226562	-54.714490
-37904.296875	-54.618866
-37901.367188	-54.702865
-37898.437500	-54.977740
-37895.507812	-55.734497
-37892.578125	-55.429691
-37889.648438	-55.127523
-37886.718750	-54.878222
-37883.789062	-54.195964
-37880.859375	-54.652207
-37877.929688	-54.813063
-37875.000000	-54.289856
-37872.070312	-53.929115
-37869.140625	-54.124245
-37866.210938	-55.096663
-37863.281250	-55.115920
-37860.351562	-55.359049
-37857.421875	-55.188819
-37854.492188	-56.062153
-37851.562500	-55.647511
-37848.632812	-54.986805
-37845.703125	-54.980700
-37842.773438	-55.701903
-37839.843750	-55.417161
-37836.914062	-55.874865
-37833.984375	-55.680965
-37831.054688	-54.995664
-37828.125000	-54.901715
-37825.195312	-55.833469
-37822.265625	-55.063784
-37819.335938	-55.065101
-37816.406250	-56.141351
-37813.476562	-55.128095
-37810.546875	-55.100113
-37807.617188	-55.746209
-37804.687500	-55.328288
-37801.757812	-54.533710
-37798.828125	-53.856930
-37795.898438	-54.493083
-37792.968750	-54.928187
-37790.039062	-55.301662
-37787.109375	-54.025621
-37784.179688	-55.145724
-37781.250000	-55.970444
-37778.320312	-55.804079
-37775.390625	-55.436286
-37772.460938	-55.719832
-37769.531250	-55.342362
-37766.601562	-55.262561
-37763.671875	-54.549924
-37760.742188	-54.831996
-37757.812500	-55.777551
-37754.882812	-55.168726
-37751.953125	-55.306490
-37749.023438	-54.938463
-37746.093750	-54.298902
-37743.164062	-54.106019
-37740.234375	-55.571126
-37737.304688	-56.513295
-37734.375000	-55.729149
-37731.445312	-54.649867
-37728.515625	-54.247665
-37725.585938	-55.713587
-37722.656250	-56.524133
-37719.726562	-56.187401
-37716.796875	-54.534045
-37713.867188	-53.206463
-37710.937500	-54.599582
-37708.007812	-55.129358
-37705.078125	-53.737319
-37702.148438	-54.787227
-37699.218750	-56.956641
-37696.289062	-55.084300
-37693.359375	-54.480387
-37690.429688	-55.194466
-37687.500000	-55.425207
-37684.570312	-55.421015
-37681.640625	-55.861989
-37678.710938	-55.109142
-37675.781250	-54.554287
-37672.851562	-54.813794
-37669.921875	-54.226753
-37666.992188	-54.471082
-37664.062500	-55.022251
-37661.132812	-55.330004
-37658.203125	-55.248091
-37655.273438	-54.518369
-37652.343750	-55.110710
-37649.414062	-54.841553
-37646.484375	-54.902527
-37643.554688	-54.660318
-37640.625000	-55.599217
-37637.695312	-55.618159
-37634.765625	-55.191373
-37631.835938	-55.678551
-37628.906250	-55.158486
-37625.976562	-54.992768
-37623.046875	-54.537330
-37620.117188	-55.096902
-37617.187500	-54.885813
-37614.257812	-54.331051
-37611.328125	-53.717334
-37608.398438	-53.862481
-37605.468750	-54.901160
-37602.539062	-54.815061
-37599.609375	-55.108541
-37596.679688	-55.010482
-37593.750000	-54.320301
-37590.820312	-54.540750
-37587.890625	-54.543564
-37584.960938	-55.410266
-37582.031250	-55.579052
-37579.101562	-54.983696
-37576.171875	-54.349727
-37573.242188	-55.277042
-37570.312500	-55.406651
-37567.382812	-54.937724
-37564.453125	-55.453736
-37561.523438	-54.601137
-37558.593750	-54.625396
-37555.664062	-54.895998
-37552.734375	-55.841220
-37549.804688	-55.298122
-37546.875000	-54.306723
-37543.945312	-54.144565
-37541.015625	-54.438064
-37538.085938	-54.667033
-37535.156250	-54.340897
-37532.226562	-55.560135
-37529.296875	-55.584563
-37526.367188	-54.299779
-37523.437500	-55.555536
-37520.507812	-56.070819
-37517.578125	-54.815941
-37514.648438	-55.446188
-37511.718750	-55.003469
-37508.789062	-53.686018
-37505.859375	-53.638673
-37502.929688	-53.962155
-37500.000000	-54.536640
-37497.070312	-55.492513
-37494.140625	-54.964633
-37491.210938	-53.704698
-37488.281250	-53.640187
-37485.351562	-54.551467
-37482.421875	-55.879748
-37479.492188	-55.572139
-37476.562500	-55.381165
-37473.632812	-54.432517
-37470.703125	-53.871303
-37467.773438	-54.400015
-37464.843750	-53.641668
-37461.914062	-55.091088
-37458.984375	-54.378973
-37456.054688	-53.763502
